iter	Passed	Remaining
316	8379	18054
317	8407	18030
318	8435	18007
319	8462	17983
320	8493	17965
321	8519	17938
322	8549	17920
323	8578	17898
324	8605	17873
325	8633	17850
326	8661	17825
327	8688	17801
328	8715	17775
329	8742	17749
330	8768	17723
331	8796	17698
332	8825	17677
333	8852	17651
334	8883	17634
335	8912	17612
336	8941	17590
337	8970	17569
338	8996	17542
339	9023	17517
340	9051	17491
341	9077	17465
342	9105	17440
343	9132	17416
344	9161	17394
345	9189	17369
346	9217	17346
347	9245	17321
348	9273	17298
349	9302	17276
350	9330	17252
351	9364	17239
352	9394	17219
353	9431	17211
354	9466	17198
355	9511	17206
356	9541	17186
357	9577	17176
358	9607	17154
359	9634	17127
360	9666	17110
361	9694	17085
362	9720	17057
363	9745	17027
364	9774	17004
365	9799	16975
366	9826	16948
367	9850	16917
368	9876	16888
369	9900	16858
370	9925	16827
371	9950	16798
372	9977	16772
373	10004	16744
374	10028	16714
375	10055	16688
376	10079	16657
377	10104	16627
378	10129	16597
379	10153	16565
380	10177	16535
381	10203	16506
382	10227	16476
383	10251	16444
384	10275	16414
385	10299	16383
386	10323	16352
387	10348	16323
388	10375	16296
389	10403	16271
390	10429	16244
391	10455	16217
392	10480	16188
393	10507	16161
394	10531	16130
395	10556	16101
396	10581	16072
397	10605	16041
398	10629	16011
399	10655	15982
400	10680	15954
401	10705	15924
402	10730	15895
